strat,ticker,oos_total,oos_sharpe,oos_maxdd,bh_total,bh_sharpe,bh_maxdd,beats_return,beats_sharpe
s01,SPY,0.06449505410058598,0.4983716338087464,-0.05426538831081196,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s01,QQQ,0.12193681125551814,0.6672587047041809,-0.07884011765986332,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s01,AAPL,-0.075560422067111,-0.3740954676604155,-0.10935786746450227,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s01,MSFT,0.04141081241407307,0.34357670470849694,-0.07400455329492073,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s01,GOOGL,0.05155677316222951,0.26292401474057525,-0.08351492213638778,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s02,SPY,0.6230009044641371,0.9666372983094552,-0.18755239553632774,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s02,QQQ,1.1873957799860038,1.2103226621647178,-0.2276830534342097,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s02,AAPL,0.10267447324657142,0.22525225549458186,-0.2990166235202346,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s02,MSFT,0.343266225437592,0.5291840416070892,-0.23697171291170915,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s02,GOOGL,1.528244160734869,1.0669144236571764,-0.3028118683862123,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s03,SPY,0.42224386475595255,0.9200847570343782,-0.11745730863763915,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s03,QQQ,0.4978991630009302,0.813595028722231,-0.18567624452515863,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s03,AAPL,0.629820740416978,0.7913906709958078,-0.21286666852195912,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s03,MSFT,-0.22349541136267448,-0.24288677745988718,-0.32849002598813903,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s03,GOOGL,0.9105897877110907,0.8258238913462675,-0.24760655590632907,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s04,SPY,0.20259425273561082,0.6529607487612451,-0.06738914978457378,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s04,QQQ,0.2545613902679442,0.7595268202807769,-0.07104407615090458,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s04,AAPL,0.056740932507104436,0.18024791584572422,-0.10404803699715726,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s04,MSFT,0.005244965559452197,0.059150198754770913,-0.1722024524276775,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s04,GOOGL,0.4597623664702697,1.1179015465869242,-0.09710136703863259,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,True
s06,SPY,0.8030144589408152,1.2028714470424458,-0.1290093714434174,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s06,QQQ,1.132511701623225,1.2186676932837341,-0.1540654577978251,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s06,AAPL,0.2993096583332142,0.42221120696560743,-0.34927028827420725,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s06,MSFT,0.3006190341640711,0.44768298948870977,-0.3116209525878857,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s06,GOOGL,0.5730991284603437,0.6156746621407242,-0.18092749563266464,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s07,SPY,0.033988562731356975,0.6134267198452671,-0.006683865287402613,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s07,QQQ,0.050208363472384665,0.5844501199527643,-0.013731353006751879,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s07,AAPL,0.11326198644062102,0.674028752463716,-0.04336615254206322,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s07,MSFT,0.017684107548049166,0.2135487381702608,-0.0430598369881976,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s07,GOOGL,0.07439727230335724,0.37530142857072,-0.06408234873570229,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s08,SPY,0.09791666896367213,0.2638593003833557,-0.14213216217593294,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s08,QQQ,0.36751868050953473,0.5909905607843047,-0.12155735771006959,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s08,AAPL,-0.23011240269964084,-0.2779808176096993,-0.4572935492857403,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s08,MSFT,-0.015522423916695338,0.07697312061561337,-0.3928088459616529,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s08,GOOGL,0.6207147441349943,0.6496702544301398,-0.19888601635686343,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s10,SPY,0.43699183773624983,0.9607640438297471,-0.09175931482671795,1.1327243217073493,1.2318610919756794,-0.18755239553632774,False,False
s10,QQQ,0.6010483619252718,0.9701721088605161,-0.1590099463800796,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s10,AAPL,0.5091785235547825,0.757134045236812,-0.18100872955215985,1.3541081611635248,0.928295346060588,-0.333605140245371,False,False
s10,MSFT,0.14276551043522345,0.28443970249561384,-0.21455270149763028,0.584699044062039,0.56815164300413,-0.33910095902930826,False,False
s10,GOOGL,0.23090449259905932,0.34266261555810207,-0.35481974455835497,2.313176735843166,1.1028740976113027,-0.31659572686610005,False,False
s11,QQQ/BND,0.7898391303550736,1.194632060016184,-0.1940726173880284,1.7264325043920001,1.269471065981826,-0.22768305343420947,False,False
s12,KO/PEP,0.053893394724541466,0.2148741857886621,-0.14776350431454954,0.0,0.0,0.0,True,True
